"#TYPE","Swadesh_number","ENG","HNG","FIN","EST"
"pronoun","1","I","én","minä"
"pronoun","2","thou","te","sinä"
"pronoun","3","he","ő","hän,se"
"pronoun","4","we","mi","me"
"pronoun","5","you","ti","te"
"pronoun","6","they","ők","ne"
"part","7","this","ez","tämä"
"part","8","that","az","tuo"
"part","9","here","itt","tässä"
"part","10","there","ott","siellä"
"part","11","who","ki","kuka"
"part","12","what","mi","mikä"
"part","13","where","hol","missä"
"part","14","when","mikor","milloin"
"part","15","how","hogy(an)","miten"
"conjunction","16","not","nem","ei"
"part","17","all","mind,összes","kaikki"
"part","18","many","sok","monet"
"part","19","some","néhány","jotkut"
"part","20","few","kevés","muutama"
"part","21","other","más","muu"
"number","22","one","egy","yksi"
"number","23","two","kettő","kaksi"
"number","24","three","három","kolme"
"number","25","four","négy","neljä"
"number","26","five","öt","viisi"
"adjective","27","big","nagy","iso"
"adjective","28","long","hosszú","pitkä"
"adjective","29","wide","széles","leveä"
"adjective","30","thick","vastag","paksu"
"adjective","31","heavy","nehéz","painava"
"adjective","32","small","kis,kicsi","pieni"
"adjective","33","short","rövid","lyhyt"
"adjective","34","narrow","keskeny","kapea"
"adjective","35","thin","vékony","ohut"
"noun","36","woman","nő","nainen"
"noun","37","man","férfi","mies"
"noun","38","person","ember,személy","henkilö"
"noun","39","child","gyerek","lapsi"
"noun","40","wife","feleség","vaimo"
"noun","41","husband","férj","aviomies,mies"
"noun","42","mother","anya","äiti"
"noun","43","father","apa","isä"
"noun","44","animal","állat","eläin"
"noun","45","fish","hal","kala"
"noun","46","bird","madár","lintu"
"noun","47","dog","kutya","koira"
"noun","48","louse","tetű"
"noun","49","snake","kígyó","käärme"
"noun","50","worm","giliszta","mato"
"noun","51","tree","fa","puu"
"noun","52","forest","erdő","metsä"
"noun","53","stick","bot","keppi"
"noun","54","fruit","gyümölcs","hedelmä"
"noun","55","seed","mag","siemen"
"noun","56","leaf","levél","lehti"
"noun","57","root","gyökér","juuri"
"noun","58","bark","kéreg","kaarna"
"noun","59","flower","virág","kukka"
"noun","60","grass","fű","ruoho"
"noun","61","rope","kötél","köysi"
"noun","62","skin","bőr","iho"
"noun","63","meat","hús","liha"
"noun","64","blood","vér","veri"
"noun","65","bone","csont","luu"
"noun","66","fat","zsír","rasva"
"noun","67","egg","tojás","muna"
"noun","68","horn","szarv","sarvi"
"noun","69","tail","farok","häntä"
"noun","70","feather","toll","sulka"
"noun","71","hair","haj","hius,hiukset"
"noun","72","head","fej","pää"
"noun","73","ear","fül","korva"
"noun","74","eye","szem","silmä"
"noun","75","nose","orr","nenä"
"noun","76","mouth","száj","suu"
"noun","77","tooth","fog","hammas"
"noun","78","tongue","nyelv","kieli"
"noun","79","fingernail","köröm","kynsi"
"noun","80","foot","lábfej"
"noun","81","leg","láb","jalka"
"noun","82","knee","térd","polvi"
"noun","83","hand","kéz","käsi"
"noun","84","wing","szárny","siipi"
"noun","85","belly","has","maha"
"noun","86","guts","belek","suolet"
"noun","87","neck","nyak","kaula"
"noun","88","back","hát","selkä"
"noun","89","breast","mell","rinta"
"noun","90","heart","szív","sydän"
"noun","91","liver","máj","maksa"
"verb","92","drink","inni","juoda"
"verb","93","eat","enni","syödä"
"verb","94","bite","harapni","purra"
